Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
G8GV21	G8GV21_9CAUD	unreviewed	Tailspike (Tailspike protein)	9NA_055	Salmonella phage 9NA	673								3RIQ;
Q607C7	KRDE_METCA	reviewed	L-Lys-D/L-Arg epimerase (EC 5.1.1.-) (Cationic dipeptide epimerase)	MCA1834	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	356							243233.MCA1834;	3RIT;3RO6;
Q9H3S7	PTN23_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14)	PTPN23 KIAA1471	Homo sapiens (Human)	1636			DISEASE: Neurodevelopmental disorder and structural brain anomalies with or without seizures and spasticity (NEDBASS) [MIM:618890]: An autosomal recessive disorder characterized by global developmental delay, brain abnormalities, mainly ventriculomegaly and/or brain atrophy, intellectual disability, absent speech, peripheral spasticity, and microcephaly. Additional variable features include early-onset seizures, optic atrophy, and dysmorphic facial features. Early death may occur. {ECO:0000269|PubMed:25558065, ECO:0000269|PubMed:27848944, ECO:0000269|PubMed:29090338, ECO:0000269|PubMed:29899372, ECO:0000269|PubMed:31395947}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 202;  /note=""L->D: Nearly abolishes interaction with CHMP4B. Abolishes interaction with CHMP4B; when associated with D-206."";  /evidence=""ECO:0000269|PubMed:18434552""; MUTAGEN 206;  /note=""I->D: Abolishes interaction with CHMP4B; when associated with D-202."";  /evidence=""ECO:0000269|PubMed:18434552""; MUTAGEN 678;  /note=""F->S,D: Abolishes interaction with UBAP1."";  /evidence=""ECO:0000269|PubMed:21757351, ECO:0000269|PubMed:27839950"""	Q9H3S7;	9606.ENSP00000265562;	3RAU;5CRU;5CRV;5LM1;5LM2;5MJY;5MJZ;5MK0;5MK1;5MK2;5MK3;
Q18888	Q18888_CAEEL	unreviewed	Aryl hydrocarbon receptor Interacting Protein (AIP) Related	aipr-1 C56C10.10 CELE_C56C10.10	Caenorhabditis elegans	342							6239.C56C10.10;	3RKV;
M4B6G6	ATR1_HYAAE	reviewed	Avirulence protein ATR1 (Arabidopsis thaliana recognized protein 1)	ATR1 ATR1-NdWsB	Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	311								3RMR;7CRB;7CRC;
Q9KCA6	AROA1_ALKHC	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase 1 (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase 1) (EPSP synthase 1) (EPSPS 1)	aroA1 aroE BH1667	Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	431							272558.10174284;	3RMT;
Q8VDU0	GPSM2_MOUSE	reviewed	G-protein-signaling modulator 2 (Pins homolog)	Gpsm2 Lgn Pins	Mus musculus (Mouse)	679					"MUTAGEN 210;  /note=""N->F: Nearly abolishes interaction with NUMA1."";  /evidence=""ECO:0000269|PubMed:21816348""; MUTAGEN 228;  /note=""R->A: Abolishes interaction with NUMA1; when associated with A-243. Abolishes interaction with FRMPD1; when associated with A-243."";  /evidence=""ECO:0000269|PubMed:21816348, ECO:0000269|PubMed:23318951""; MUTAGEN 243;  /note=""R->A: Abolishes interaction with NUMA1; when associated with A-228. Abolishes interaction with FRMPD1; when associated with A-228."";  /evidence=""ECO:0000269|PubMed:21816348, ECO:0000269|PubMed:23318951""; MUTAGEN 254;  /note=""F->E: Abolishes interaction with INSC."";  /evidence=""ECO:0000269|PubMed:21816348""; MUTAGEN 290;  /note=""N->E: Abolishes interaction with INSC."";  /evidence=""ECO:0000269|PubMed:21816348""; MUTAGEN 601;  /note=""L->E: Disrupts one GNAI3 binding site."";  /evidence=""ECO:0000269|PubMed:22952234""; MUTAGEN 635;  /note=""I->E: Disrupts one GNAI3 binding site."";  /evidence=""ECO:0000269|PubMed:22952234""; MUTAGEN 642;  /note=""R->A,G: Reduces affinity for GDP-bound GNAI3 50-fold. Reduces affinity for GDP-bound GNAI3 500-fold; when associated with A-647."";  /evidence=""ECO:0000269|PubMed:22952234""; MUTAGEN 647;  /note=""R->A: Reduces affinity for GDP-bound GNAI3 500-fold; when associated with A-642."";  /evidence=""ECO:0000269|PubMed:22952234"""	Q8VDU0;	10090.ENSMUSP00000029482;	3RO2;3RO3;4G2V;4G5O;4G5Q;4G5R;4G5S;4JHR;
Q81MQ2	DAPH_BACAN	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89) (Tetrahydrodipicolinate N-acetyltransferase) (THP acetyltransferase) (Tetrahydropicolinate acetylase)	dapH BA_4194 GBAA_4194 BAS3891	Bacillus anthracis	240							260799.BAS3891;	3R8Y;
Q83E11	AROA_COXBU	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA CBU_0526	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	438							227377.CBU_0526;	3ROI;3SLH;3TR1;4EGR;4GFP;4ZND;
A6TH02	A6TH02_KLEP7	unreviewed	Uncharacterized protein	yjcO KPN_04481	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	228								3RJV;
P93193	IPO_IPOBA	reviewed	Ipomoelin (Jacalin related lectin) (JRL)	IPO	Ipomoea batatas (Sweet potato) (Convolvulus batatas)	154					"MUTAGEN 1..10;  /note=""Missing: Loss of homotetramerization."";  /evidence=""ECO:0000269|PubMed:22808208"""			3R50;3R51;3R52;4DDN;
Q9PIC1	PYRF_CAMJE	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF Cj0381c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	279						Q9PIC1;	192222.Cj0381c;	3RU6;
Q9HKI3	TAL_THEAC	reviewed	Probable transaldolase (EC 2.2.1.2)	tal Ta0616	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	223							273075.Ta0616;	3S0C;3S1U;3S1V;3S1W;3S1X;4XZ9;6YR3;6YRE;6YRH;6YRM;6YRT;6YS0;
Q8K368	FANCI_MOUSE	reviewed	Fanconi anemia group I protein homolog (Protein FACI)	Fanci	Mus musculus (Mouse)	1330							10090.ENSMUSP00000044931;	3S4W;3S4Z;3S51;
Q3JFX2	Q3JFX2_BURP1	unreviewed	Hep_Hag family	BURPS1710b_A2381	Burkholderia pseudomallei (strain 1710b)	1626								3S6L;
P17181	INAR1_HUMAN	reviewed	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	IFNAR1 IFNAR	Homo sapiens (Human)	557					"MUTAGEN 466;  /note=""Y->F: Impairs internalization in response to interferon."";  /evidence=""ECO:0000269|PubMed:18056411""; MUTAGEN 491..492;  /note=""LL->AA: Impairs interaction with TYK2."";  /evidence=""ECO:0000269|PubMed:24704786""; MUTAGEN 496..497;  /note=""EE->AA: Impairs interaction with TYK2."";  /evidence=""ECO:0000269|PubMed:24704786""; MUTAGEN 500;  /note=""E->A: Impairs interaction with TYK2."";  /evidence=""ECO:0000269|PubMed:24704786""; MUTAGEN 501;  /note=""K->R: Mildly reduces ubiquitination. Nearly abolishes ubiquitination and subsequent degradation; when associated with 525-R-R-526."";  /evidence=""ECO:0000269|PubMed:15337770""; MUTAGEN 525..526;  /note=""KK->RR: Reduces ubiquitination. Nearly abolishes ubiquitination and subsequent degradation; when associated with R-501."";  /evidence=""ECO:0000269|PubMed:15337770""; MUTAGEN 535;  /note=""S->A: Abolishes interaction with FBXW11 and decreases ubiquitination."";  /evidence=""ECO:0000269|PubMed:14532120, ECO:0000269|PubMed:15337770""; MUTAGEN 535;  /note=""S->A: Abolishes phosphorylation at this site and interaction with SHMT2."";  /evidence=""ECO:0000269|PubMed:24075985""; MUTAGEN 539;  /note=""S->A: Abolishes interaction with FBXW11 and decreases ubiquitination."";  /evidence=""ECO:0000269|PubMed:15337770"""	P17181;	9606.ENSP00000270139;	3S98;3SE3;3SE4;4PO6;
A6KZ57	A6KZ57_PHOV8	unreviewed	Uncharacterized protein	BVU_1028	Phocaeicola vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / CCUG 4940 / NBRC 14291 / NCTC 11154) (Bacteroides vulgatus)	394							435590.BVU_1028;	3S9J;
Q8A8C7	Q8A8C7_BACTN	unreviewed	Uncharacterized protein	BT_1240	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	349							226186.BT_1240;	3SB4;
C4ZBG5	C4ZBG5_AGARV	unreviewed	DUF5050 domain-containing protein	EUBREC_1955	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)	330								3S25;
Q5LGG4	Q5LGG4_BACFN	unreviewed	3-carboxymuconate cyclase	BF9343_0994 NCTC9343_02648	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow)	384								3SCY;
P19573	NOSZ_PSEST	reviewed	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)	nosZ	Pseudomonas stutzeri (Pseudomonas perfectomarina)	638							1123519.PSJM300_03110;	3SBP;3SBQ;3SBR;6RKZ;6RL0;6Y6Y;6Y71;6Y72;6Y77;6Y7D;6Y7E;7APY;7AQ0;7AQ2;7AQ3;7AQ4;7AQ5;7AQ6;7AQ7;7AQ8;7AQ9;7AQA;
P81274	GPSM2_HUMAN	reviewed	G-protein-signaling modulator 2 (Mosaic protein LGN)	GPSM2 LGN	Homo sapiens (Human)	684			DISEASE: Chudley-McCullough syndrome (CMCS) [MIM:604213]: An autosomal recessive neurologic disorder characterized by early-onset sensorineural deafness and specific brain anomalies on MRI, including hypoplasia of the corpus callosum, enlarged cysterna magna with mild focal cerebellar dysplasia, and nodular heterotopia. Some patients have hydrocephalus. Psychomotor development is normal. {ECO:0000269|PubMed:20602914, ECO:0000269|PubMed:22578326}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 228;  /note=""R->A: Abolishes location at mitotic spindle poles; when associated with A-243."";  /evidence=""ECO:0000269|PubMed:21816348""; MUTAGEN 228;  /note=""R->E: Strongly reduces interaction with INSC. Abolishes interaction with INSC; when associated with R-290."";  /evidence=""ECO:0000269|PubMed:22074847""; MUTAGEN 243;  /note=""R->A: Abolishes location at mitotic spindle poles; when associated with A-228."";  /evidence=""ECO:0000269|PubMed:21816348""; MUTAGEN 290;  /note=""N->R: Abolishes interaction with INSC; when associated with E-228."";  /evidence=""ECO:0000269|PubMed:22074847"""	P81274;	9606.ENSP00000385510;	3SF4;4WND;4WNE;4WNF;4WNG;5A6C;6HC2;
Q81K13	MURA1_BACAN	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 (EC 2.5.1.7) (Enoylpyruvate transferase 1) (UDP-N-acetylglucosamine enolpyruvyl transferase 1) (EPT 1)	murA1 BA_5529 GBAA_5529 BAS5137	Bacillus anthracis	434							260799.BAS5137;	3SG1;
P54311	GBB1_RAT	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	Gnb1	Rattus norvegicus (Rat)	340						P54311;	10116.ENSRNOP00000044340;	3SN6;5TDH;5VAI;6CMO;6LPB;6NBF;6NBH;6NBI;6WWZ;7BW0;7CZ5;7D3S;7LJC;7LJD;7MBX;7MBY;
O88879	APAF_MOUSE	reviewed	Apoptotic protease-activating factor 1 (APAF-1)	Apaf1	Mus musculus (Mouse)	1249					"MUTAGEN 265;  /note=""R->S: No stimulation of CASP9 activity."";  /evidence=""ECO:0000269|PubMed:21827944"""	O88879;	10090.ENSMUSP00000020157;	3SFZ;3SHF;
Q4WTC0	Q4WTC0_ASPFU	unreviewed	Hsc70 cochaperone (SGT), putative (EC 3.1.3.16)	AFUA_1G09830	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	341							746128.CADAFUBP00000910;	3SZ7;
Q9H9E1	ANRA2_HUMAN	reviewed	Ankyrin repeat family A protein 2 (RFXANK-like protein 2)	ANKRA2 ANKRA	Homo sapiens (Human)	313					"MUTAGEN 31;  /note=""K->R: No effect on interaction with CCDC8."";  /evidence=""ECO:0000269|PubMed:25752541""; MUTAGEN 188;  /note=""W->A: Loss of interaction with CCDC8. Decreased affinity for HDAC4."";  /evidence=""ECO:0000269|PubMed:22649097, ECO:0000269|PubMed:25752541""; MUTAGEN 254;  /note=""Y->A: Decreased affinity for HDAC4."";  /evidence=""ECO:0000269|PubMed:22649097"""	Q9H9E1;	9606.ENSP00000296785;	3SO8;3V2O;3V2X;3V31;4LG6;4QQI;
P70206	PLXA1_MOUSE	reviewed	Plexin-A1 (Plex 1) (Plexin-1)	Plxna1 Kiaa4053	Mus musculus (Mouse)	1894					"MUTAGEN 1266..1268;  /note=""KRK->AAA: Loss of interaction with FARP2."";  /evidence=""ECO:0000269|PubMed:16286926"""	P70206;	10090.ENSMUSP00000131840;	3RYT;5L56;5L59;5L5C;5L7N;
Q12QS6	Q12QS6_SHEDO	unreviewed	Avidin/streptavidin	Sden_0912	Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013)	172							318161.Sden_0912;	3SZH;3SZI;3SZJ;3T2W;3T2X;
O75581	LRP6_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 6 (LRP-6)	LRP6	Homo sapiens (Human)	1613			DISEASE: Coronary artery disease, autosomal dominant, 2 (ADCAD2) [MIM:610947]: A common heart disease characterized by reduced or absent blood flow in one or more of the arteries that encircle and supply the heart. Its most important complication is acute myocardial infarction. {ECO:0000269|PubMed:17332414, ECO:0000269|PubMed:23703864}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Tooth agenesis, selective, 7 (STHAG7) [MIM:616724]: An autosomal dominant form of selective tooth agenesis, a common anomaly characterized by the congenital absence of one or more teeth. Selective tooth agenesis without associated systemic disorders has sometimes been divided into 2 types: oligodontia, defined as agenesis of 6 or more permanent teeth, and hypodontia, defined as agenesis of less than 6 teeth. The number in both cases does not include absence of third molars (wisdom teeth). {ECO:0000269|PubMed:26387593}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 1394;  /note=""C->A: Some reduction of palmitoylation, little change in plasma membrane location in the presence of MESD nor in Wnt-signaling activity. Completely abolishes palmitoylation, no plasma membrane location, greatly reduced Wnt-signaling activity but no effect on ubiquitination; when associated with A-1399. Exhibits full Wnt-signaling activity and no change in plasma membrane location; when associated with A-1399 and R-1403."";  /evidence=""ECO:0000269|PubMed:18378904""; MUTAGEN 1399;  /note=""C->A: Some reduction of palmitoylation, and little change in plasma membrane location in the presence of MESD nor in Wnt-signaling activity. Completely abolishes palmitoylation, no plasma membrane location, greatly reduced Wnt-signaling activity but no effect on ubiquitination; when associated with A-1394. Exhibits full Wnt-signaling activity and no change in plasma membrane location in the in presence of MESD; when associated with A-1394 and R-1403."";  /evidence=""ECO:0000269|PubMed:18378904""; MUTAGEN 1403;  /note=""K->R: Abolishes ubiquitination, no change in plasma membrane location in the presence of MESD but greatly reduced Wnt-signaling activity. Exhibits full Wnt-signaling activity and no change in plasma membrane location; when associated with A-1394 and A-1399.""; MUTAGEN 1420;  /note=""S->A: Enhanced AXIN1 binding and increased beta-catenin activity by 2.2-fold. Further enhanced AXIN1 binding and increases beta-catenin activity by 3.3-fold; when associated with A-1430."";  /evidence=""ECO:0000269|PubMed:16513652""; MUTAGEN 1430;  /note=""S->A: Enhanced AXIN1 binding. Further enhanced AXIN1 binding and increases beta-catenin activity by 3.3-fold; when associated with A-1420."";  /evidence=""ECO:0000269|PubMed:16513652""; MUTAGEN 1485;  /note=""L->A: No change in the phosphorylation state of PPPSP motif. Some reduction in Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1486;  /note=""N->A: No change in the phosphorylation state of PPPSP motif. Increased Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1487;  /note=""P->A: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1487;  /note=""P->C: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1488;  /note=""P->A: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1489;  /note=""P->A: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1490;  /note=""S->A: Greatly reduced phosphorylation of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1490;  /note=""S->T: Some loss of phosphorylation of PPPSP motif A. Little reduction in Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1491;  /note=""P->A: Greatly reduced phosphorylation of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1492;  /note=""A->G: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1493;  /note=""T->A: No change in the phosphorylation state of PPPSP motif A. Greatly reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1494;  /note=""E->A: No change in the phosphorylation state of PPPSP motif A. Little reduction of Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1495;  /note=""R->A: No change in the phosphorylation state of PPPSP motif. No reduction of Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1529;  /note=""T->A: No effect on the phosphorylation state of PPPSP motif B."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1530;  /note=""T->A: Abolishes phosphorylation of PPPSP motif B. Reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1531;  /note=""P->A: Abolishes phosphorylation of PPPSP motif B. Reduced Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1572;  /note=""T->A: Abolishes Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1590;  /note=""S->A: Abolishes Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152""; MUTAGEN 1607;  /note=""S->A: Abolishes Wnt/beta-catenin signaling."";  /evidence=""ECO:0000269|PubMed:18362152"""	O75581;	9606.ENSP00000261349;	3S2K;3S8V;3S8Z;3S94;3SOB;3SOQ;3SOV;4A0P;4DG6;4NM5;4NM7;5AIR;5FWW;5GJE;6H15;6H16;6L6R;
Q9HZH0	Q9HZH0_PSEAE	unreviewed	Probable porin	PA3038	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	421								3T24;
P30260	CDC27_HUMAN	reviewed	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824					"MUTAGEN 821;  /note=""S->A: Abolishes binding to MCPH1."";  /evidence=""ECO:0000269|PubMed:22139841"""	P30260;	9606.ENSP00000434614;	3T1N;4RG6;4RG7;4RG9;4UI9;5A31;5G04;5G05;5KHR;5KHU;5L9T;5L9U;5LCW;6Q6G;6Q6H;6TLJ;6TM5;6TNT;
C7NDE2	C7NDE2_LEPBD	unreviewed	Uncharacterized protein	Lebu_0176	Leptotrichia buccalis (strain ATCC 14201 / DSM 1135 / JCM 12969 / NCTC 10249 / C-1013-b)	183							523794.Lebu_0176;	3T8K;
Q62192	CD180_MOUSE	reviewed	CD180 antigen (Lymphocyte antigen 78) (Ly-78) (Radioprotective 105 kDa protein) (CD antigen CD180)	Cd180 Ly78 Rp105	Mus musculus (Mouse)	661						Q62192;	10090.ENSMUSP00000022124;	3T6Q;
A8B3A8	A8B3A8_RHIMP	unreviewed	Triosephosphate isomerase (EC 5.3.1.1)	TIM	Rhipicephalus microplus (Cattle tick) (Boophilus microplus)	249								3TH6;
Q9PIF1	TRPA_CAMJE	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA Cj0349	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	249						Q9PIF1;	192222.Cj0349;	3THA;
P0A9W9	YRDA_ECOLI	reviewed	Protein YrdA	yrdA b3279 JW5710	Escherichia coli (strain K12)	184						P0A9W9;	511145.b3279;	3TIO;3TIS;
P36070	RRN3_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN3	RRN3 YKL125W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	627						P36070;	4932.YKL125W;	3TJ1;5G5L;5N5Y;5N5Z;5N60;5N61;5OA1;6RQH;6RQL;6RQT;6RRD;6RUI;6RUO;6RWE;6TPS;
Q3JR17	Q3JR17_BURP1	unreviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD BURPS1710b_2594	Burkholderia pseudomallei (strain 1710b)	312								3TK8;
P13188	SYQ_YEAST	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	GLN4 YOR168W O3601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	809						P13188;	4932.YOR168W;	3TL4;4H3S;
Q8A230	Q8A230_BACTN	unreviewed	IPT/TIG domain-containing protein	BT_3476	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	457							226186.BT_3476;	3TC9;
Q5FJB3	PYRF_LACAC	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF LBA1386	Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM)	235							272621.LBA1386;	3TFX;
B9MKT4	B9MKT4_CALBD	unreviewed	Pectate lyase (EC 4.2.2.2)	Athe_1854	Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / Z-1320) (Anaerocellum thermophilum)	460							521460.Athe_1854;	3T9G;4EW9;4YZ0;4YZA;4YZQ;4YZX;4Z03;4Z05;4Z06;
Q91VI7	RINI_MOUSE	reviewed	Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)	Rnh1 Rnh	Mus musculus (Mouse)	456						Q91VI7;	10090.ENSMUSP00000101651;	3TSR;
Q83E06	PYRF_COXBU	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF CBU_0531	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	236							227377.CBU_0531;	3TR2;
A0A6L8P2U9	A0A6L8P2U9_BACAN	unreviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	guaB GBAA_0008	Bacillus anthracis	487							198094.BA_0008;	3TSB;3TSD;3USB;4MJM;4MY1;4MY8;4MY9;4MYA;4MYX;4QM1;5URR;5URS;5UUV;5UUW;5UUZ;6MGU;
O00399	DCTN6_HUMAN	reviewed	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	190						O00399;	9606.ENSP00000221114;	3TV0;
Q8G9Q2	Q8G9Q2_LEUME	unreviewed	Dextransucrase (EC 2.4.1.5) (Sucrose 6-glucosyltransferase) (Fragment)	dsrE	Leuconostoc mesenteroides	2835								3TTO;3TTQ;4TTU;4TVC;
A9Z0I5	A9Z0I5_PETMA	unreviewed	Variable lymphocyte receptor B	VLR-B	Petromyzon marinus (Sea lamprey)	270								3TWI;
Q7KLV9	PSD11_DROME	reviewed	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory complex subunit p42B) (26S proteasome regulatory subunit Rpn6)	Rpn6 CG10149	Drosophila melanogaster (Fruit fly)	422				DISRUPTION PHENOTYPE: Embryos develop and hatch normally but fail to outlive early larval stages. During the first and second instar larval stages larvae become immobile and sluggish and die without any observable defects. Lethality is probably the result of additive defects in overall cell proliferation rather than of distinct developmental disorders. {ECO:0000269|PubMed:12426099}.		Q7KLV9;	7227.FBpp0086603;	3TXM;3TXN;
Q9VB22	Q9VB22_DROME	unreviewed	LD33695p (Partner of inscuteable) (Pins protein) (RE22964p)	pins dLGN Dmel\CG5692 dPins PINS Pins Rad rad RAPS Raps raps rapsyn CG5692 Dmel_CG5692	Drosophila melanogaster (Fruit fly)	658						Q9VB22;	7227.FBpp0084559;	3TVT;4A1S;5A7D;
A0A2S9PLG4	A0A2S9PLG4_YERPE	unreviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	dhpS YPO3501	Yersinia pestis	277								3TYU;3TYZ;3TZF;3TZN;5JQ9;
Q9BZZ5	API5_HUMAN	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	API5 MIG8	Homo sapiens (Human)	524						Q9BZZ5;	9606.ENSP00000431391;	3U0R;3V6A;6L4O;
C8VX32	C8VX32_DESAS	unreviewed	Uncharacterized protein	Dtox_1751	Desulfofarcimen acetoxidans (strain ATCC 49208 / DSM 771 / KCTC 5769 / VKM B-1644 / 5575) (Desulfotomaculum acetoxidans)	328							485916.Dtox_1751;	3U4Y;
Q45782	Q45782_BACTU	unreviewed	PlcR protein (Transcriptional regulator) (XRE family transcriptional regulator)	plcR B4918_30015 C6351_13005 CAB88_27845 CN398_18815 COK99_05395 CON12_11885 CON71_19630	Bacillus thuringiensis	285								3U3W;4FSC;
H9KVH9	H9KVH9_MORBO	unreviewed	Transferrin-binding protein B	LbpB	Moraxella bovis	341								3UAQ;
E5D0X5	E5D0X5_SCHOC	unreviewed	Fructofuranosidase (EC 3.2.1.26)		Schwanniomyces occidentalis (Yeast) (Debaryomyces occidentalis)	535								3U14;3U75;6S1T;6S2B;
E3PQS3	E3PQS3_PACTE	unreviewed	Sucrose:(Sucrose/fructan) 6-fructosyltransferase	6-SFT 6-SST	Pachysandra terminalis (Carpet box)	655								3UGF;3UGG;3UGH;
